,video_id,width,height,duration
371,AhiJaxqNEko,1920,1080,367.317
372,A0cVN5nLC0g,1280,720,367.340
373,tUQ1xOzP_ec,1280,720,367.456
374,QGSwgLxAkC8,1920,1080,367.503
375,tUwaTM4KPME,1920,1080,367.503
376,bLhm9pnuQcw,640,360,367.596
377,B6N_6SkHqI8,1280,720,367.735
378,bXAVr8jGsl0,1280,720,367.828
379,cvRVpnJMr74,1280,720,367.967
380,7p8yKSeQEyg,1280,720,368.060
381,sg1ewmpKb_c,1920,1080,368.130
382,ANFApCkI-qg,854,480,368.269
383,FEtlQme9OJY,1920,1080,368.362
384,y2gUC2zYYdY,1280,720,368.432
385,nCVpKH_8sIY,854,480,368.501
386,z8MpkDEUf4M,1280,720,368.524
387,x_KzJD02xaY,854,480,368.826
388,W03hOAlGb9g,480,360,368.989
389,xQwD_Bub5r0,1920,1080,369.058
390,KMari9iHRaE,640,360,369.499
391,PKpUhVZoFXg,1920,1080,369.639
392,U5mvWCXVraM,360,240,369.639
393,1Ans1LRyTL4,640,480,369.732
394,9UBt7hJofE4,1920,1080,369.732
395,UvBa34CuXwQ,1280,720,369.918
396,w0z0kym4rZw,1280,720,370.103
397,Hbo-srDyXWw,854,480,370.359
398,Ta-SkbqOCbw,1280,720,370.521
399,6IHmb0kl_6c,1920,1080,370.661
400,RedRBCKEgZY,854,480,370.661
401,lYeOV3_m0Tc,316,240,370.707
402,1BxbHyPjDS8,1280,720,370.730
403,4hYvtj9Iwxs,1920,1080,370.777
404,cvzAyOPABVM,320,240,370.939
405,tJS0ojYrejE,320,240,371.079
406,YBU8yhWFS1E,1920,1080,371.218
407,gHg3EhV9Ctg,1280,720,371.264
408,iJLiiUegSVA,480,360,371.311
409,3qgZ7uO6EzQ,852,480,371.427
410,096gfn5DZaE,640,480,371.467
411,T4fhcMlUYC0,1920,1080,371.543
412,Wzu4gUhqnjw,640,360,371.729
413,Bu_ae5d6GOI,1280,720,371.868
414,lifsLotb8mA,1280,720,372.077
415,IUXPRMD9-Dw,640,480,372.193
416,PdBVLg8e64I,320,240,372.216
417,5Pwd4_VsgvI,1280,720,372.332
418,6j2R4LkAV7w,1280,720,372.449
419,SuB5kfXoRIE,1280,720,372.449
420,ZP5bPTrcMV4,1920,1080,372.472
