video_id,frame_rate,batch_size,min_face_size,max_frame_size,width,height,video_length,detection_length
Dhs_IMxEI4Y,3.0,94,20,,1280,720,519.0333333333333,82.66251182556152
DN4kMc26gmk,3.0,280,20,,640,480,621.3,127.41598749160767
DUHP8I-EoUI,3.0,92,20,,1280,720,3165.233333333333,969.0812435150146
dV33rE1IUB8,3.0,84,20,,1280,720,1984.0,775.6429452896118
dZn5ZOF0XrU,3.0,34,20,,1920,1080,332.56666666666666,182.3263099193573
FD7ASrSrQk4,3.0,40,20,,1920,1080,632.9,250.1439871788025
Feyr1xSziiA,3.0,490,20,,490,360,698.6,207.2188482284546
FMdkxVQuMqA,3.0,92,20,,1280,720,980.5666666666667,430.23573422431946
FWgUO9JHYWM,3.0,1024,20,,320,240,1404.6,93.71023058891296
g83kvsaR23U,3.0,382,20,,640,352,919.6666666666666,108.5238356590271
GEwzkBy3SkQ,3.0,1024,20,,320,240,946.4333333333333,96.80422067642212
GiXJajiWHlg,3.0,46,20,,1920,1080,804.9333333333333,492.46437978744507
gQY-5f_w6oU,3.0,92,20,,1280,720,2720.5,1301.5914058685303
H-ZpjCax8g4,3.0,320,20,,640,480,469.56666666666666,67.23935413360596
hDWfVV4BE_c,3.0,256,20,,640,480,795.2,76.31828713417053
hEhbxx8TPgc,3.0,94,20,,1280,720,1675.0,678.3639435768127
Hgs1FCxGIv4,3.0,94,20,,1280,720,365.8,158.0432436466217
in1RqJ6p0fg,3.0,542,20,,480,360,685.1,123.83753156661987
JkQ1ou8jEBo,3.0,34,20,,1920,1080,2056.4333333333334,1146.6805868148804
jQQdxpeV4YA,3.0,34,20,,1920,1080,645.8333333333334,311.7580168247223
Jwy1KfhQMZ8,3.0,34,20,,1920,1080,1502.9333333333334,834.8914296627045
KgVW-euTY5g,3.0,1024,20,,360,240,1486.0666666666666,205.17052340507507
KXZnOyFLjKU,3.0,46,20,,1920,1080,1011.5666666666667,709.1944079399109
kZrHMPKlz1w,3.0,374,20,,640,360,1061.6,136.00111961364746
lRWRNE7hUU8,3.0,254,20,,854,480,1643.7333333333333,471.1606044769287
LZIgIhHADMo,3.0,40,20,,1920,1080,1707.2666666666667,1207.3103148937225
mvrDJ-rMs_8,3.0,192,20,,854,480,2516.9,756.1390252113342
MxlJhLtaDK0,3.0,34,20,,1920,1080,859.1333333333333,425.15679955482483
ns08YNU2tzk,3.0,34,20,,1920,1080,1495.0333333333333,414.2189292907715
oQnRdoOLDrY,3.0,34,20,,1920,1080,1315.5666666666666,649.8774001598358
oSBbSSc0aXs,3.0,34,20,,1920,1080,626.3333333333334,514.5233948230743
